id,instruction,answer,option_c,option_b,option_a,option_d,
ARC-Challenge/train/Mercury_7041248,Sunt amestecate două substanțe chimice într-un pahar care este plasat într-un vas cu apă și gheață. Gheața din apă se topește în timp ce substanțele chimice reacționează timp de un minut. Ce tip de reacție are loc?,D,"exotermică, în care energia este absorbită","endotermică, în care energia este eliberată","endotermică, în care energia este absorbită","exotermică, în care energia este eliberată",
ARC-Challenge/train/Mercury_7014525,Cu ce substanță ar trebui să se spele pielea unui elev dacă a fost stropită cu acid?,A,sare,oțet,apă,formaldehidă,
ARC-Challenge/train/NYSEDREGENTS_2005_4_14,Ce animal se pregătește pentru o schimbare sezonieră în mediu?,D,un bufniță mâncând un șoarece,un căprioară bând apă,o liliac zburând noaptea,un veveriță stocând nuci,
ARC-Challenge/train/Mercury_7179778,Care este dovada unei reacții chimice?,A,fierberea unui băut răcoritor,evaporarea apei dintr-o soluție,lumina produsă de magneziu când este ars,căldura produsă de o lampă,
ARC-Challenge/train/NYSEDREGENTS_2009_8_4,"Ce eveniment meteo include de obicei precipitații abundente, vânturi puternice și temperaturi ale aerului de la suprafață sub 0°C?",A,furtună electrică,uragan,viscol,tornadă,
ARC-Challenge/train/Mercury_SC_401304,Care eveniment necesită cel mai mult timp pentru a produce schimbări măsurabile?,C,eroziunea solului,cutremur,inundații,erupție vulcanică,
ARC-Challenge/train/Mercury_7247975,Care acțiune modelează cel mai bine mișcarea unui braț la încheietura cotului?,C,închiderea unei uși de mașină,tăierea unui măr,deschiderea unui sertar,impingerea unei căruțe,
ARC-Challenge/train/TIMSS_1995_8_N5,Una dintre cauzele principale ale ploii acide este,C,gazele provenite din arderea cărbunelui și a petrolului care se dizolvă în apa din atmosferă,aciditatea din laboratoarele chimice care se evaporă în aer,aciditatea reziduală din fabricile chimice eliminată în râuri,gazele emise de aparatele de aer condiționat și frigidere care scapă în atmosferă,
ARC-Challenge/train/CSZ_2005_5_CSZ20330,Cel mai mare corp din sistemul nostru solar este,B,Jupiter.,Soarele.,Pământul.,Luna.,
ARC-Challenge/train/Mercury_7188703,Vremezirea formelor de relief depinde de diferiti factori. Care zona ar avea cea mai rapida rata de vremezire chimica?,B,regiunile racoroase si umede,regiunile calde si umede,regiunile reci si uscate,regiunile fierbinti si uscate,
ARC-Challenge/train/Mercury_7128380,"Pe o masă sunt așezate două bucăți de același metal. Bucățile de metal au aceeași densitate, masă și textură. Care dintre următoarele caracteristici trebuie să fie SINGURA diferență între cele două probe?",A,Sunt făcute dintr-un alt tip de material.,Au puncte de fierbere diferite.,Au dimensiuni diferite.,Conțin o cantitate diferită de materie per unitate de volum.,
ARC-Challenge/train/Mercury_7086223,Care proprietate indică cel mai bine că solul conține nutrienți?,B,cantitatea de nisip,culoare,textură,cantitatea de lut,
ARC-Challenge/train/Mercury_SC_407194,Care dintre acestea este cel mai probabil efect al tăierii unui număr mare de copaci?,A,scăderea nivelului de poluare,cresterea nivelului de oxigen din aer,pierderea habitatului pentru animale,scăderea eroziunii solului,
ARC-Challenge/train/Mercury_SC_401812,"Ciclurile de viață ale plantelor și animalelor sunt similare, deoarece ambele",C,"au etape de început, creștere și maturare.",necesită aceeași cantitate de timp.,încep ca ouă.,se aseamănă cu părinții lor încă de la etapele incipiente.,
ARC-Challenge/train/Mercury_7027055,"Un cercetător a colectat numărul lunar de populații al trei specii de animale dintr-o pădure timp de cinci ani. Pentru a afișa aceste date, cercetătorul ar trebui să utilizeze următorul?",C,un grafic cu linii,un grafic circular,o tabelă,un grafic de dispersie,
ARC-Challenge/train/Mercury_7213115,Care dintre următoarele tipuri de rezervor de apă conține cel mai mare volum de apă dulce?,C,calote glaciare,râuri,lacuri,acvifere,
ARC-Challenge/train/Mercury_7211663,Organismele nou descoperite sunt acum clasificate pe baza probelor ADN. Care dintre următoarele ajută cel mai mult un cercetător să clasifice o organism nou descoperit?,D,reproducerea selectivă,tăierea genelor,registrul fosililor,electroforeza gelului,
ARC-Challenge/train/Mercury_7267925,Straturile exterioare ale costumelor spațiale ale astronauților sunt reflectante pentru a-i proteja de,B,micrometeoroidelor.,lumina soarelui intensă.,vidul cosmic.,pierderea de apă.,
ARC-Challenge/train/Mercury_7181668,"Narcisele sunt plante care pot realiza atât reproducere asexuală, cât și sexuală. Cum poate beneficia mai mult o populație de narcise prin reproducerea sexuală decât prin reproducerea asexuală?",C,Poate să crească diversitatea trăsăturilor moștenite.,Poate să se adapteze mai rapid la mediul său.,Poate să se reproducă mai rapid.,Poate să elimine trăsături nefavorabile din pool-ul genetic.,
ARC-Challenge/train/ACTAAP_2007_7_8,Cum să procedăm în cazul în care datele nu susțin ipoteza în timpul efectuării unui experiment pentru o expoziție științifică?,A,Schimbați variabila astfel încât datele să se potrivească cu ipoteza.,Schimbați ipoteza conform concluziei.,Verificați dacă există erori și efectuați din nou experimentul.,Ignorați datele și pregătiți totuși expoziția științifică.,
ARC-Challenge/train/Mercury_185255,Care dintre următoarele trăsături umane este cel mai puțin probabil să fie moștenită?,D,culoarea părului,culoarea ochilor,înălțimea,amprentele digitale,
ARC-Challenge/train/Mercury_7230300,Târziul bombardament puternic a fost o perioadă de impacturi extinse de comete pe Pământ acum aproximativ 3.8 miliarde de ani. Oamenii de știință cred că această perioadă a furnizat mult din materiile găsite acum în care parte a sistemului Pământului?,D,atmosfera,mantaua,nucleul,hidrosfera,
ARC-Challenge/train/Mercury_7182893,Marea parte a volumului universului se găsește în spațiul dintre galaxii. Obiectele găsite în regiunile dintre galaxii sunt cel mai probabil cele mai apropiate ca mărime de care dintre următoarele?,A,un planet,un asteroid,o particula de praf,o stea,
ARC-Challenge/train/Mercury_SC_402089,Peștii barbati Stout trăiesc în adâncul oceanului. Trăiesc atât de jos încât nu există lumină. Care caracteristică i-ar ajuta cel mai bine pe peștii barbati Stout să supraviețuiască în întuneric?,D,abilitatea de a înota rapid,un corp colorat strălucitor,o gură plină de perișori,două mustăți care localizează hrana,
ARC-Challenge/train/Mercury_7120785,Margaret face o tură completă în jurul unei piste circulare. Ea se uită spre nord când începe. În ce direcție se va uita după ce a parcurs jumătate de tur?,B,est,sud,nord,vest,
ARC-Challenge/train/Mercury_SC_LBS10340,Oamenii de știință studiază fosilele pentru a învăța despre,D,proprietăți fizice ale rocilor.,modele de formare cristalină.,compoziția Pământului.,organisme de demult.,
ARC-Challenge/train/NCEOGA_2013_8_14,Care determină cel mai bine numărul de lupi care pot trăi într-o zonă?,D,numărul de arbori din zonă,numărul de păsări care trăiesc în zonă,cantitatea de zăpadă din zonă în fiecare an,cantitatea de hrană disponibilă în zonă,
ARC-Challenge/train/Mercury_7186778,"Kevin observă cerul într-o noapte senină. Cu ochiul liber, poate vedea Venus, Marte, Jupiter și Saturn. De ce pare Venus mai strălucitoare decât celelalte planete?",A,Este mai mare decât celelalte planete.,Este mai caldă decât celelalte planete.,Reflectă cel mai multă lumină solară către Pământ.,Este planeta cea mai apropiată de Soare.,
ARC-Challenge/train/NCEOGA_2013_5_38,"Într-un ecosistem de pajiște, dacă populația de vulturi scade brusc, care va fi cel mai probabil efectul asupra restului ecosistemului?",A,Nutriția solului din ecosistem va scădea.,Va avea loc o scădere a populației de șerpi din ecosistem.,Ecosistemul va deveni suprapopulat cu șerpi.,Vor începe să crească în ecosistem mai multe tipuri de plante.,
ARC-Challenge/train/LEAP_2008_4_10288,Cum afectează pescuitul excesiv intr-o anumită zonă ecosistemul?,B,Organismele pe care peștii se hrănesc vor deveni pe cale de dispariție.,Organismele care mănâncă peștii ar putea să devină pe cale de dispariție din cauza lipsei de hrană.,Peștii vor depune mult mai multe ouă pentru a înlocui peștii care au fost capturați.,Oamenii ar putea mânca prea mulți pești și ar deveni bolnavi.,
ARC-Challenge/train/LEAP_2001_4_10241,Care dintre acestea este un lucru neînsuflețit?,D,un vierme,un copac,un ciupercă,un râu,
ARC-Challenge/train/Mercury_SC_407674,Care diagramă arată cel mai bine cum energia curge printr-un lanț alimentar simplu?,A,Frunze -> Copac -> Rață,Copac -> Pasăre -> Rață,Frunze -> Rață -> Pasăre,Rață -> Frunze -> Pasăre,
ARC-Challenge/train/Mercury_SC_400519,"În studierea straturilor de sedimente de rocă, un geolog a descoperit o zonă în care o rocă mai veche a fost stratificată deasupra unei roci mai tinere. Care dintre următoarele explica cel mai bine cum s-a produs acest lucru?",A,Eroziunea a înlăturat mai multe straturi de rocă.,Erupțiile vulcanice au distrus un strat de rocă.,Activitatea seismică a pliat straturile de rocă.,Vremea a schimbat stratificarea rocilor.,
ARC-Challenge/train/AIMS_2009_4_8,"Indicații Citiți informațiile despre eroziunea de vânt, apoi răspundeți la întrebare. Vântul poate cauza eroziune care schimbă suprafața Pământului. Eroziunea de vânt poate avea efecte negative asupra mediului prin îndepărtarea solului și poluarea aerului în timpul furtunilor de praf. Care este o modalitate de a preveni eroziunea de vânt?",C,Muncitorii de construcții pot uda solul înainte de a conduce pe el sau de a săpa.,Rancherii pot lăsa animalele lor să pască în zone cu puțină creștere de plante.,Oamenii pot conduce biciclete off-road prin deșert.,Fermierii pot îndepărta toate materialele vegetale din sol între sezoanele de plantare.,
ARC-Challenge/train/Mercury_7212065,Care este afirmația care descrie cel mai bine mișcarea moleculelor de apă în timp ce apa trece din starea de aburi în starea lichidă?,D,Moleculele se mișcă mai rapid și ocupă mai puțin spațiu.,Moleculele se mișcă mai încet și ocupă mai mult spațiu.,Moleculele se mișcă mai rapid și ocupă mai mult spațiu.,Moleculele se mișcă mai încet și ocupă mai puțin spațiu.,
ARC-Challenge/train/Mercury_7064628,Care este sursa principală de energie care cauzează evaporarea apei de la suprafața corpurilor de apă?,A,căldura provenită de la masele de pământ învecinate,transpirația plantelor,radiația solară,curentele de convecție din apă,
ARC-Challenge/train/MCAS_2007_8_5171,"Laura adaugă 50 ml de apă clocotită la 100 ml de apă cu gheață. Dacă cei 150 ml de apă sunt apoi puse într-un congelator, la ce temperatură va îngheța apa?",A,37°C,15°C,0°C,50°C,
ARC-Challenge/train/Mercury_401011,"Gazele nobile, heliul, neon, argon, cripton, xenon și radon reacționează rar cu alte elemente deoarece au",C,nivelurile exterioare de energie complete.,nu sunt abundente pe Pământ.,densitatea redusă a gazelor.,doi electroni în nivelul lor extern de energie.,
ARC-Challenge/train/Mercury_7014193,"Pentru a produce lumină, atomii din interiorul unei becuri transformă energia electrică în",B,energie chimică.,radiație electromagnetică.,energie cinetică.,energie termică.,
ARC-Challenge/train/Mercury_7222373,"Bazat pe efectul Doppler, undele electromagnetice care ajung la Pământ dintr-o galaxie care se îndepărtează de Pământ ar trebui să",D,experimenteze o schimbare de la unde transversale la unde longitudinale.,experimenteze o creștere a frecvenței lor.,experimenteze o creștere a amplitudinii lor.,experimenteze o scădere a frecvenței lor.,
ARC-Challenge/train/ACTAAP_2009_7_14,Care compus ne-gazoasă poate fi creată din două elemente care sunt gaze la temperatura camerei?,A,oxid de fier,sare de masă,apă,dioxid de carbon,
ARC-Challenge/train/NCEOGA_2013_8_19,"Tigrii și pisicile de casă fac parte din aceeași familie; cu toate acestea, dimensiunile lor sunt extrem de diferite. Care este cauza acestei diferențe?",C,genetică,comportament,compoziție biochimică,dimensiunea habitatului,
ARC-Challenge/train/Mercury_7200848,O plantă care crește flori roșii a fost încrucișată cu aceeași plantă care crește flori albe. Descendenții lor au crescut flori roz. Care este cea mai bună explicație pentru faptul că descendenții au crescut flori roz?,C,Genele pentru culoarea florilor au prezentat dominanță incompletă.,Descendenții rezultă din reproducerea asexuală.,Descendenții au suferit o mutație genetică.,Un gen pentru flori de culoare roz a fost recesiv în unul dintre părinți.,
ARC-Challenge/train/NAEP_2011_8_S11+2,"Din ce atomi se combină o moleculă de apă? 1. 1 hidrogen, 1 oxigen 2.",C,"2 hidrogen, 1 oxigen",oxigen,"hidrogen,","2 hidrogen, 2 oxigen",
ARC-Challenge/train/Mercury_7102340,Biologii studiază populația de cerbi cu coadă albă din Ohio. Care întrebare ar putea fi cel mai probabil respondată de către biologi?,A,Această populație de cerbi preferă statele cu temperaturi mai călduroase?,Ce procent de oameni se bucură să privească cerbii?,Cât de repede crește această populație de cerbi?,Ar trebui oamenii să crească cerbi ca animale de companie?,
ARC-Challenge/train/MEA_2010_8_7-v1,Copacii gigantici de sequoia roșie transformă energia dintr-o formă în alta. Cum este schimbată energia de către copaci?,B,Ei transformă energia eoliană în energie termică.,Ei transformă energia solară în energie chimică.,Ei transformă energia chimică în energie cinetică.,Ei transformă energia mecanică în energie solară.,
ARC-Challenge/train/Mercury_7207498,Luna nu are vreme și schimbări climatice precum cele de pe Pământ. Ce cauzează lipsa vremii pe Lună?,C,atmosfera foarte subțire,prezența rocilor ignee,lipsa apei,lipsa polilor magnetici,
ARC-Challenge/train/Mercury_182018,Care proprietate caracteristică indică faptul că roca magmatică se răcește lent?,D,densitatea,duritatea,compoziția minerală,dimensiunea cristalelor,
ARC-Challenge/train/Mercury_7210000,"Elevii fac observații meteorologice în afara clădirii școlii, apoi își notează observațiile. Care observație ar trebui înregistrată ca fapt?",B,Este mai frumos decât ieri.,Vântul bate cu o viteză de 5 m/s.,Aerul se simte foarte rece.,Se pare că ar putea să se încălzească mai târziu.,
ARC-Challenge/train/MDSA_2007_5_32,Un recipient este umplut cu 250 de mililitri de apă. Masa totală a recipientului și a apei este de 300 de grame. Care este masa totală a recipientului și a apei după ce este lăsat la congelator timp de 2 ore?,C,300 grame,250 grame,50 grame,550 grame,
ARC-Challenge/train/Mercury_7009590,Ce se întâmplă dacă sistemul renal al corpului nu funcționează?,C,Deșeurile metabolice se acumulează în sânge.,Oxigenarea sângelui nu mai are loc.,Schimbul de gaze este afectat.,Nutrienții nu mai sunt transportați către organe.,
ARC-Challenge/train/Mercury_183908,Care dintre următoarele caracteristici este utilizat pentru clasificarea organismelor în cadrul regnului plantelor?,A,prezența pereților celulari,utilizarea fotosintezei,tip de țesut vascular,producția de oxigen,
ARC-Challenge/train/NYSEDREGENTS_2007_4_22,O scădere a temperaturii aerului de la 60°F la 35°F ar cauza cel mai probabil unei persoane să,A,clipescă din ochi,transpire,tremure,se simtă somnoroasă,
ARC-Challenge/train/Mercury_7239418,Care activitate este direct reglementată de neuroni?,B,rata și forma creșterii oaselor,bătăile inimii,producerea celulelor sexuale,nivelurile de zahăr din sânge,
ARC-Challenge/train/Mercury_7187775,"Franklin vrea să știe cât de repede aleargă la diferite distanțe. El folosește un cronometru pentru a măsura timpul în care completează o cursă de 50 metri, 100 metri și 200 de metri. Cum poate el calcula viteza sa pentru fiecare cursă?",B,Înmulțește distanțele cu timpii.,Împarte distanțele la timpi.,Adaugă distanțele și timpii.,Scade distanțele din timpi.,
ARC-Challenge/train/NCEOGA_2013_5_60,Care dintre următoarele trăsături este cel mai probabil să fie moștenită de copii de la părinți?,A,personalitatea,abilitatea muzicală,forma urechilor,limbajul,
ARC-Challenge/train/Mercury_SC_409907,Charisma are un pește de aur pe care îl ține într-un acvariu. A plantat mai multe plante subacvatice pe fundul acvariului. Cum se aseamănă peștele de aur și plantele din acvariu?,C,Ambele sunt alcătuite din celule.,Ambele efectuează fotosinteza.,Ambele adaugă oxigen în apă.,Ambele mănâncă hrană.,
ARC-Challenge/train/Mercury_7068845,"Două plante identice sunt plantate la o distanță de 3 metri. O plantă înflorește, dar cealaltă nu. Un elev ajunge la concluzia că plantele primesc o cantitate inegală de apă. O altă explicație posibilă este că plantele sunt",B,într-un sol cu conținut ridicat de humus.,primesc cantități diferite de lumină solară.,prea aproape una de cealaltă.,primesc cantități diferite de dioxid de carbon.,
ARC-Challenge/train/AKDE&ED_2012_8_9,Două substanțe pure se combină pentru a forma o nouă substanță. Noua substanță nu poate fi separată fizic și are un punct de fierbere diferit față de fiecare dintre substanțele originale. Această nouă substanță poate fi cel mai bine clasificată ca,D,un element.,un amestec.,un atom.,un compus.,
ARC-Challenge/train/Mercury_7141470,Un botanist a dezvoltat un nou îngrășământ care a fost testat pe diferite tipuri de plante în diferite condiții. Rezultatele au indicat că îngrășământul a crescut creșterea plantelor. Care ar fi cea mai bună modalitate de a valida rezultatele?,A,să dezvolte o nouă ipoteză pentru a testa,să examineze rezultatele de mai multe ori,să solicite un alt laborator să replieze testele,să schimbe procedura,
ARC-Challenge/train/MCAS_2009_8_11,Care dintre scheletele următoarelor pești arată cel mai bine evoluția unei specii de pești?,C,un pește care a trăit recent și un pește care a trăit acum mult timp,același pește imediat înainte să primească o tăietură și după ce aceasta s-a vindecat,un pește mascul și un pește femelă care ar putea produce urmași,același pește imediat după ce a ieșit din ou și la maturitate,
ARC-Challenge/train/AKDE&ED_2008_4_37,Un efect negativ al inventării și utilizării hârtiei este,B,scăderea poluării în depozitele de gunoi.,creșterea numărului de copaci tăiați.,creșterea utilizării sticlelor de sticlă.,scăderea cantității de cărți de citit.,
ARC-Challenge/train/Mercury_400025,"Pe o suprafață sigură sunt plasate patru lumânări identice și aprinse. Una este acoperită cu un borcan de dimensiuni mici, una este acoperită cu un borcan de dimensiuni mari și una dintre lumânări este lăsată descoperită. A patra lumânare, încă aprinsă, este plasată în vid. Care lumânare va rămâne cel mai probabil aprinsă cel mai mult timp?",D,lumânarea acoperită cu un borcan de dimensiuni mari,lumânarea acoperită cu un borcan de dimensiuni mici,lumânarea plasată în vid,lumânarea lăsată descoperită,
ARC-Challenge/train/Mercury_7143185,"Pădurile tropicale conțin mai multe specii de arbori decât oricare alt biotop. Cu toate acestea, oamenii de știință au descoperit că solul din zona pădurii este relativ sărac în nutrienți. Care ar putea fi cel mai probabil motiv pentru aceasta?",B,Solul din zona pădurii nu primește suficientă lumină solară.,Nutrienții sunt utilizați de către viețuitoare.,Lipsa de eroziune reduce disponibilitatea mineralelor.,Animalele mănâncă nutrienții.,
ARC-Challenge/train/NYSEDREGENTS_2007_8_31,În timpul cărei schimbări de fază energia termică este absorbită de o substanță?,A,lichid la solid,gaz la solid,lichid la gaz,gaz la lichid,
ARC-Challenge/train/Mercury_7236075,Ce proprietate a modelului plăcilor tectonice îi conferă acestuia statutul de teorie științifică?,B,"Este mai clar, mai simplu și mai plauzibil decât alte modele.",A trecut teste independente ample ale predicțiilor sale.,A fost dovedit empiric că este adevărat.,Furnizează orientări pentru investigațiile științifice ale științelor Pământului care sunt valabile din punct de vedere științific.,
ARC-Challenge/train/Mercury_7159670,Care dintre caracteristicile de mai jos ar fi cea mai importantă pentru o plantă să devină o plantă-pionieră pe o plajă în curs de recuperare?,C,rezistență la perturbații,rădăcini lungi pentru a căuta apă,capacitatea de a crește foarte mare,frunze mari pentru a prinde lumina soarelui,
ARC-Challenge/train/Mercury_SC_413243,Care este cel mai mare diferență dintre ciclul de viață al unei molii și al unui insectă care trece printr-o metamorfoză incompletă?,A,Depune ouă.,Devine adult.,Creează un cocon.,Mănâncă frunze.,
ARC-Challenge/train/Mercury_SC_413531,O mașină de cusut portabilă folosește o baterie pentru a mișca acul. Acul se mișcă rapid în sus și în jos. Ce schimbare de energie are loc?,B,Electricitatea se transformă în energie stocată.,Energia stocată se transformă în mișcare.,Mișcarea se transformă în energie chimică.,Căldura se transformă în electricitate.,
ARC-Challenge/train/Mercury_7159530,Rolando dorește să vadă la ce temperatură fierb diverse lichide. El fierbe apă de la robinet și înregistrează temperatura. Apoi fierbe apă de la robinet cu lapte adăugat și apă de la robinet cu zahăr adăugat. Care este scopul fierberii apei de la robinet simplă în primul rând?,D,pentru a schimba o variabilă în timp ce se observă celelalte,pentru a avea o posibilă explicație la o problemă,pentru a include un factor de manipulare,pentru a oferi un standard prin care să se compare rezultatele,
ARC-Challenge/train/MEAP_2005_8_17,De ce este iarna în America de Nord când este vară în America de Sud?,C,America de Nord primește mai puțină lumina directă a soarelui în timpul iernii.,Există mai puțină uscat decât apă în sud.,Sudul este întotdeauna mai cald decât nordul.,"Când este decembrie în America de Nord, este iunie în America de Sud.",
ARC-Challenge/train/Mercury_7113873,Penele masculilor de sticlete devin colorate strălucitor în fiecare primăvară. Care este cel mai bun mod de a descrie de ce se schimbă culoarea penelor în fiecare an?,D,o adaptare comportamentală,un comportament învățat,o mutație genetică,o adaptare fizică,
ARC-Challenge/train/Mercury_7140035,"Rămânem versatili în solul superficial, fără un traseu anume. Cum afectăm cel mai probabil solul superficial?",C,adaugând nutrienți solului superficial,scăzând fertilitatea solului superficial,compactând solul superficial,înlăturând minerale din solul superficial,
ARC-Challenge/train/NYSEDREGENTS_2004_8_31,Proprietatea chimică a unui mineral este evidențiată dacă mineralul,B,este ușor zgâriat de un unghie,face bule când este pus acid pe ea,se sparge ușor când este lovit cu un ciocan,reflectă lumina de pe suprafața sa,
ARC-Challenge/train/Mercury_7188930,Inima este principalul organ al sistemului circulator. Care parte a corpului este responsabilă pentru transportul sângelui deeoxigenat către inimă?,D,valve,capilare,artere,vene,
ARC-Challenge/train/MCAS_2006_9_22-v1,Care dintre următoarele este un rol central al carbonului în chimia organismelor vii?,D,Carbonul formează ușor legături ionice care se separă ușor.,Carbonul este un solvent care rupe legăturile chimice.,Carbonul poate forma legături doar cu alți atomi de carbon.,Carbonul poate forma multe tipuri de molecule cu legături covalente.,
ARC-Challenge/train/Mercury_SC_401133,Ce trebuie făcut atunci când rezultatele unui experiment nu susțin ipoteza?,A,repetati experimentul până când sunt obținute rezultatele așteptate,schimbați observațiile pentru a se potrivi ipotezei,repetați experimentul și verificați erorile,înregistrați și analizați datele după ce ați schimbat ipoteza,
ARC-Challenge/train/Mercury_7175683,Cele mai multe vulcani se dezvoltă datorită interacțiunii dintre două plăci tectonice. Care dintre interacțiunile plăcilor tectonice este cel mai puțin probabil să producă activitate vulcanică?,D,două plăci continentale divergente,două plăci oceanice convergente,două plăci oceanice divergente,două plăci continentale convergente,
ARC-Challenge/train/Mercury_7038868,Se toarnă apă cu gheață în patru căni făcute din materiale diferite. Cea făcută din care material va fi cea mai rece la atingere după un minut?,C,metal,sticlă,spumă,plastic,
ARC-Challenge/train/Mercury_7091980,Interiorul Pământului este alcătuit din mai multe straturi fizic diferite. Stratul solid al Pământului care se mișcă peste un strat vâscos se numește,B,astenosferă.,coajă.,nucleu.,atmosferă.,
ARC-Challenge/train/Mercury_7082810,O minge de bowling aflată nemiscată pe o masă exercită o forță îndreptată în jos asupra mesei. Forța exercitată de masă trebuie să fie,A,mai mare decât forța bilei.,într-o continuă schimbare odată cu bila.,egală cu forța bilei.,mai mică decât forța bilei.,
ARC-Challenge/train/MEA_2014_5_14,Zece grame de zahăr se dizolvă în 100 de grame (g) de apă. Câte grame are soluția de zahăr și apă?,C,110 g,100 g,90 g,1000 g,
ARC-Challenge/train/Mercury_400749,Un atom devine un ion cu încărcătură -1 deoarece atomul,A,câștigă un proton.,pierde un electron.,câștigă un electron.,pierde un proton.,
ARC-Challenge/train/Mercury_7090773,Emisiile de dioxid de carbon au crescut din cauza numărului mare de mașini și creșterii industrializării. Care dintre următoarele a fost cel mai afectat de creșterea nivelului de dioxid de carbon?,D,capacitatea Pământului de a continua reciclarea rocilor,capacitatea oamenilor de știință de a studia alte planete,capacitatea fermierilor de a planta culturi,capacitatea Pământului de a menține temperaturi mai scăzute,
ARC-Challenge/train/MDSA_2009_8_44,"Midii, stridii și scoici mănâncă plante din apă. Cum ar fi afectate în cel mai probabil mod midii, stridiile și scoicile dacă cantitatea de plankton dintr-un corp mare de apă ar fi redusă semnificativ?",D,Ar deveni pradă pentru alte animale.,Ar găsi o nouă sursă de hrană.,Numărul lor ar crește.,Ar concura pentru o sursă limitată de hrană.,
ARC-Challenge/train/MCAS_2004_8_8,Care este sistemul corpului ale cărui funcții primare sunt menținerea speciei?,D,excretor,nervos,digestiv,reproductiv,
ARC-Challenge/train/MDSA_2010_8_18,Corpul uman are structuri complexe care susțin creșterea și supraviețuirea. Care este cea mai de bază structură a corpului uman care susține creșterea și supraviețuirea?,A,un organ,un țesut,o celulă,un sistem de organe,
ARC-Challenge/train/ACTAAP_2008_7_15,Ce ar folosi un științific pentru a modela cauza anilor planetari?,D,temperatura nucleului unui planet,culoarea planetară,masa planetară,distanța unui planet de Soare,
ARC-Challenge/train/Mercury_7219100,Ce proces a determinat ridicarea lanțurilor montane din Nevada în ultimul milion de ani?,B,multe erupții vulcanice,activitate seismică de-a lungul liniei de falie,erodarea materialului înconjurător,depunerea de sedimente transportate de vânt,
ARC-Challenge/train/Mercury_SC_400169,Mai jos se află un anunț găsit într-un ziar local. Strălucitoare ca diamantele la o fracțiune din preț! Cumpărați „Simu-Gems” la bijutierul Cost-Rite. Acest anunț sugerează faptul că furnizorul bijutierului Cost-Rite,B,a redus prețul diamantelor pentru a le vinde mai mult.,a produs pietre artificiale care seamănă cu diamantele.,a găsit o modalitate mai puțin costisitoare de a mina și procesa diamantele.,a început să furnizeze diamante mici în locul celor mari.,
