index,title,content,starRating
6288,Foarte util!!!,"este un suport foarte bun, se fixeaza f bine pe parbriz, finisajele sunt deosebite, un produs excelent, recomand cu incredere",5
13631,Nu recomand,"cumparat, incarcat, tinut 2 zile in masina fara a fi folosit, cand sa-l folosesc in creieru' muntilor era mort. il voi returna maine.",1
1993,Imi place,"buna ziua. mi-am achizitionat recent o tableta samsung galaxy tab e t560, 9.6'', quad-core 1.3 ghz,1.5gb ram,8 gb. functioneaza impecabil insa problema este la incarcare. dureaza foarte multa incarcarea ei desi e incarcatorul ei original. poate dura si 8-10 ore sa ajunga la 100%. pute-ti va rog sa mi spune-ti care ar fi problema. multumesc.",4
13339,Nu recomand,sistem dificil de introducere extragere telefon. nu poate fi folosit cu o mana,1
3210,Asa da,"ce sa spun? wow... stiti vorba aia: mica mica da ridica? acum lasand la o parte gluma, la banii astia e perfecta. boxa mid entry la bani de low entry. trebuie sa stiti ca este mono boxa, are intrare jack 3 pini si intrarea de alimentare microusb. se conecteaza rapid prin bt si de un ios si de un android. este bt 4. controlul volumului este din telefon sau din boxa (in sensul ca orice volum key ai folosi reduce/creste volumul telefonului. nu distorsoneaza la maxim. daca folosesti youtube nu iti ia setarile sunetului din telefon (bass, treble) doar la playerul integrat face asta. nu stiu ce sa mai spun in plus, doar ca face ce ma asteptam si cum ma asteptam. la banii astia e o investitie buna. emag exemplar cu livrarea. in colet gasesti boxa si un cablu microusb portocaliu si scurt, era bun unu mai lung si un incarcator ar fi fost ok. deasemenea lipseste si strapband-ul (are loc pentru asa ceva in carcasa boxei), dar astea nu le consider minusuri. bateria cu care a venit m-a tinut ~ 3 ore, apoi incarcata cam 4 ore jumate. am pus si un acumulator exterm de 2300 mah si cu totul s-a dus cam toata seara (peste 8 ore) - acumulatorul nici nu e cine stie ce, imi incarca cam 85% din bateria iphonului.   global, pentru nivelul ei ii dau 10.",5
8652,Foarte slab,"nu as mai cumpara asa ceva niciodata, o copie nereusita. nimic nu poti face cu el, se si blocheaza.. cea mai nefericita achizitie. nu recomand!",1
708,Excelent,nota 10 pt produs si pt emag,5
6709,Excelent,"foarte bun, incarc un s7 de 5 ori pana moare.",5
6473,Excelent,recomand. pret imbatabil.,5
1050,Excelent,"foarte folositoare, isi merita banii (cel putin cand este la reducere) iar faptul ca are fir (miniusb) incorporat este un mare avantaj. este putin mare insa poti sa incarci de 3 ori telefonul.  recomand",5
8846,Nu recomand,nu imi poate incarca un telefon cu bateria de 3500mah,1
8884,Dezamagitor,maxim 2-3 incarcari,2
9517,Nu recomand,forte prost,1
13378,Foarte slab,imi cade dupa scaun,1
2789,Excelent,"aceasta casca este foarte comod de purtat si nu deranjeaza daca o porti timp de mai multe ore fiind usor de mutat de pe o ureche pe alta. marele plus al ei ca preia foarte rapid apelurile de pe un telefon pe altul si acumulatorul tine destul de mult, poate fi incarcata si la un incarcator auto deci nu te lasa la greu",5
13824,Foarte slab,nu ajuta la incarcare sau aceasta este f. f. f. greoaie.....,1
5308,Excelent,"este super buna!!! si este si accesibila la pret si da, o recomand!!",5
7223,Acceptabil,pe partea de incarcare si-a facut treaba foarte bine... cam doua incarcari jumatate imi putea oferi. singura chestie este ca dupa 5 luni s-a defectat cablul de alimentare...,4
14982,Precizie!?,"""stylus de precizie albastru - pentru tableta/telefon"" hai sa ne uitam la fotografie. de unde atata ""precizie"" la capul acela bond? nu ma refer la pix, ci la partea de utilizat pe touchscreen. incercati sa-l folositi pentru punctari de precizie!",1
12594,Tableta Vonino=dezastru,"dezastru, vandut de flanco. trei zile tot a pornit si sa oprit singura. nu functioneaza, incarcarea este aiure, ce sa zic,.... un dezastru.  de mai mult de o saptamana am cerut returul si inca nimic.",1
8596,Încarca doar 65% o baterie de telefon,"incarca doar 65% o baterie de tel, de ex samsung galaxy s4. designul insa, e atragator. la fel si pretul sau redus.",2
2791,Excelent,multumit de raportul calitate pret  recomand si altora,5
1375,Bun si ieftin.,pana acum fara probleme la acest pet!,5
14510,Uitati de panourile solare,"10.000mah chiar pare sa aiba, bazat pe cate ori incarc telefonul. dar panourile solare nu au reusit sa incarce acumulatorul nici intr-o saptamana de lasat la soare, vara, zi lunga. daca am golit acumulatorul, dupa o zi lasat la soare cu panourile desfasurate, nici macar prima liniuta(din 5) nu se incarca. panourile par mai degraba senzori de lumina nu panouri a 1w bucata. (4w/5v = 800ma, deci 10000mah/800ma = 12,5h de expunere solara - nici gand!!! )  si semnalul luminos sos nu e corect... ---... ci fara pauze...---... stiu ca poate vi se pare tot aia dar in primul caz sunt 3 litere, s, o, s iar in cazul implementat e un singur caracter, inexistent in codul morse (www.unit-conversion.info/texttools/morse-code/)  am cumparat acumulator _cu incarcare solara_ si chiar functia care vinde produsul nu merge.",1
7683,Foarte slab,"din pacate am returnato in aceeasi zi cand am primit-o. efectiv te chinui sa auzi ce zice persoana cu care vorbesti ( asta in situatia in care eram in casa), sa nu mai zicem sa fii in trafic s. a. m. d. nu cumparati!!!",1
13349,Nu merita,"nu se incarca solar, dezamagit de produs",2
1122,Excelent,este de senzatie.,5
7819,Nu recomand,este catastrofal! bateria se termina in mai putin de 6 ore!,1
13399,Nu recomand! Calitate slaba,"este un produs foarte slab, touch-ul reactioneaza lent, bacteria tine foarte putin. in realitate e mult mai mare si grosolan decat pare in poza. desi l-am luat la reducere (50%) consider ca pretul e prea mare in raport cu calitatea. din pacate nu am reusit sa-l returnez, pt. ca returul se putea face in doar 14 zile, iar eu credeam ca am 30 la dispozitie.",1
2587,Performante de top!,"ce sa zic, dupa cativa ani de windows (pana cand microsoft au distrus partea de windows phone/mobile), am trecut pe android, pe care il folosesc in prezent pe telefon si tableta.  insa am decis sa vad ce poate si lumea apple, prin achizitia acestei tablete (ipad 9.7 6th gen) 2018 (128 gb) si dupa o folosire intensa de cateva ore (setare, instalare aplicatii 2 jocuri, media - youtube, etc.) bateria a ajuns de la 90% la 50 si ceva de procente.    la capitolul performante, m-a socat efectiv si asta deoarece de curand achizitionasem o tableta galaxy tab s4 (destul de scumpa) si credeam ca este cea mai buna/performanta tableta, pana azi. efectiv in teste si viteza ipad este net superior fata de galaxy tab s4:  - in geekbench 4 pe single-core ipad a obtinut 3532 si 5963 pe multi-core iar tab s4 a obtinut 1882 puncte si 6506 puncte pe multi-core.   - in antutu benchmark, apple a lasat in urma tab s4, in timp ce eu ma uitam uluit cu o reactie de genul wtf...??? totusi ambele tablete au cam acelasi scor (201145 apple vs 201786 android) astfel ca nici nu vreau sa imi imaginez ce poate ipad pro.    experienta dintre android si apple este destul de mare - daca android se axeaza mai mult pe partea de entertainment, unde utilizatorul isi poate adapta si customiza dupa bunul plac intreg ecosistemul android, prin instalarea de teme si tot felul de widget-uri, la apple, ecosistemul este mult mai curat si bine organizat, mult mai profi, unde utilizatorul desi poate sa se simta umpic resctrictionat, are parte de mult mai multa stabilitate si performanta si asta la doar 2 gb de ram comparativ cu 4 gb de ram de la tab s4.  la display insa tab s4 este superior, ecranul amoled fiind peste ips-ul lui ipad. (ipad pro insa lucrurile banuiesc ca stau altfel...)    ce sa zic, si android-ul este un univers super cu care te obisnuiesti din prima, dar la apple lucrurile sunt mai mult orientate spre performanta si stil.    la spatiul de stocare, am facut bine ca pentru 600 ron in plus am ales varianta de 128 gb, nu de alta, dar inexistenta unui slot microsd, va face ca 32 gb, sa para o gluma buna, pentru ca spatiul se duce vazand cu ochii, un minim 64 gb de ram vor fi necesari pentru o utlizare si o experienta cat de cat normala (aplicatii, ceva jocuri, etc...).    recomand! desi apple are neajunsurile sale, este o experienta unica.",5
3308,Excelent,"are deja aproape 2 luni, nu am avut surprize sa se desprinda de pe parbriz sau alte probleme. e primul suport care il cumpar cu brat fix, pana acum luam din alea cu brat flexibil, credeam ca sunt mai bune... cat m-am inselat! cel care vine de la e-mag are marca a+ pe el, nu e negru simplu cum apare in fotografia de prezentare.",5
7953,Nemultumit,nu imi prea place,1
9228,"Multumit, dar nu prea.","revin cu un alt review asupra produsului. la aproximativ 6-8 luni de la achizitie, mufa micro usb are un joc in adaptorul lightning, ceea ce rezulta intr-o minima posibilitate de a-ti incarca telefonul. daca ai powerbank-ul pus in buzunarul gecii sau in rucsac, conectat la telefon, te vei trezi ca ca bateria s-a descarcat, in loc sa se incarce si asta tocmai din cauza adaptorului (banuiesc eu) daca tii powerbank-ul pe birou, se incarca fara probleme, dar eu nu pentru asta l-am achizitionat.",2
8443,Nu recomand,nu este ce cautam slabuta,1
10915,Nu recomand,"nici doua saptamani si au ramas bucati din el in priza. ""multumesc""",1
2783,Bun,ok  multumit.,4
5041,Excelent,"alegere buna, curierat chiar rapid prin posta romana am comandat a doua zi la ora 10 am primit bravo emag",5
7433,Foarte multumit,se incarca f repede telefonul. e un produs ok.,5
811,Sunetul foarte clar,ce imi place cel mai mult la ea e claritatea sunetului pana la un volum mediu. se aude tare dar tremura pe bass. bateria tine foarte mult si materialele din care este facuta sunt excelente. se conecteaza rapid prin nfc si nu ai probleme sa se deconecteze. ar fi fost faina si o aplicatie pentru ea sa vezi cata baterie are etc,4
5481,5 stele,volumul si calitatea vocii sunt mai ok decat la jabra boost care este de 3 ori mai scumpa. vom vedea fiabilitatea in timp insa pentru moment dau rating maxim pentru raportul calitate pret,5
14778,Nu recomand,"foarte prost. dupa doua zile a inceput sa de erori. apesi o aplicatie si deschide alta, sau pur si simplu da comenzi singur. nu recomand.",1
6777,Foarte multumit,"functioneaza ireprosabil pe s8 plus. toate aplocatiile ruleaza full screen, inclusiv netflix-hbogo... etc. singurul minus ar fi ca nu poti incarca telefonul in timp ce ai adaptorul conectat fapt ce poate fi rezolvat cu un wireless charger.",5
3649,Excelent,un produs foarte bun.,5
5655,Foarte multumit,"de incarcat, incarca exact de cate ori ar trebui, adica 80-85% din capacitatea sa. lumina de veghe (cu 2 intensitati) este excelenta, mai ales noaptea, daca vrei sa citesti si sa nu deranjezi. o recomand cu toata increderea.",5
13365,Nemultumit,"din pacate bateria nu tine nici macar 12h. la 15% telefonul moare. de 3 ori pana acum. m-am intors la bateria veche, care arata mai bine decat cea noua. ma indoiesc ca este originala, asa cum scrie in prezentare.",1
345,Excelent,"folia de sticla foarte rezistenta, multumit 100%",5
14244,Dezamagitor,"i-am dat 2 stele doar pentru ca tine bateria si se aude bine in rest, dezamagitor. cumparat mai bine de o saptamana si inca e incomod pentru urechi, garnitura aceea de la difuzor e foarte dura si trebuie sa-l schimb cand intro parte cand in cealalta ca ma dor urechile, dar cel mai rau lucru e ca nu sa conectat decat la un singur telefon din 6 probate. acum doua zile am scapat singurul telefon pe care-l puteam conecta iar casca a devenit inutilizabila cu celelalte. i-am luat sotiei o casca samsung la 47 lei si merge perfect cu toate telefoanele iar jabra asta nimic. am sa returnez casca pentru ca nu o pot conecta la celelalte telefoane personale.",2
9354,Chinezisme ieftine,"bratara a fost ok dar dupa cca 6 luni s-a largit cureaua si cade ceasu din ea, in final l-am pierdut.  deci cat face cam atat si tine.",1
12106,Nu recomand,foarte prost. am crezut ca dl matei andrei de la comentariul precedent nu a stiut sa-si monteze si placuta de tabla aferenta... imi pare rau ca nu l-am crezut pe dl matei andrei. nu l-am mai returnat... mai mare deranjul... l-am trecut la pierderi colaterale.,1
11007,Produs de 2 lei fara garantie,dupa prima utilizare ventuza s-a dezlipit de pe suport telefonul se misca.,1
2325,Multumit,"vine perfect.   nu acopera butoanele, camera sau porturile.  inchidere magnetica.",5
4112,Recomand,sunt multumit. a ajuns pachetul la timp,5
2744,Excelent,un ceas cu finisaje si design premium. sunt foarte multumit de calitatea acestuia,5
3307,Merita,multumita de el isi merita toti banii,4
10547,Foarte slab,"n-a fost ""invisible"" din start si dupa cateva luni deja sa separat de screen.",1
5875,Bun,"+  produsul face ceea ce scrie in descriere (ritm cardiac, pedometru, vibrare la mesaje, apeluri...), l-am setat imediat, iar designul si materlialele sunt chiar ok   nota: + 5*    -  l-am comandat pe 1. feb (cadou pentru o zi de nastere), a venit defect (nu se incarca) si abia astazi (13. feb) am primit unul functional.  drept este ca dupa ce a ajuns produsul defect la comerciant, s-au miscat foarte repede si in ~32 de ore a ajuns din constanta in rasnov   nota: - 1*",4
9770,Dezamagitor,"desi este foarte practic, acumulatorul are probleme cu celulele. uneori imi pot incarca telefonul de doua ori, alteori de 3 ori. din pacate niciodata nu il poti folosi la potentialul maxim. are si plusuri: lanternele pe care le are sunt foarte practice, indicatorul de incarcare iti arata procente (chiar daca nu sunt foarte precise).  design-ul imi place foarte mult. nu este un baton deranjant la bagaj cum am mai avut.  il voi trimite la garantie, pentru ca aspectul practic nu imi permite sa renunt la el. sunt curios daca va fi inlocuit sau nu.",2
4817,Merita,"se misca excelent, bateria tine 2-3 zile. nu vine cu intructiuni de folosire... iar uneori se deconecteaza de la telefon si suna alarma de ""telefon uitat"" desi is amandoua langa mine (sau pe masa unul langa altu). are g sensor ceea ce il face ca atunci cand ridici mana se te uiti la ceas se aprinde automat, nu fiind necesar sa atingi ceasul. 4 stele din cauza alarmei antipierdere (dezactivat-o ca suna si noaptea:( )",4
8879,Nu recomand,nu se lipeste pe margini 0.5cm,1
6655,Recomand,"incarca la fel de repede ca alimentatorul. o consider f utila in special pt cei care sunt tot timpul in miscare si nu au timp sa lase tel la incarcat. cu alte cuvinte, te scapa de stresul ala ""am uitat sa incarc tel...""",5
2864,Excelent,foarte performanta,5
7783,Foarte slab,"baterie slaba, stabilitate proasta, conectarea bluetooth nu e la indemana",1
10912,Nemultumit,"am incercat cu un s5 si un s6 si nu o gaseste, in schimb e compatibila cu un huawei p9 lite",1
14111,Foarte slab,"mult sub asteptari. grafica display-ului de cea mai proasta calitate (nici pe departe ca cea din prezentarea produsului) gps-ul reda numai aberatii (coordonatele si timpul nu sunt cele cu realitatea), nu mai vorbesc ca pentru a intra in legatura cu cineva de la serviciul tehnic mi-a trebuit vreo 3 saptamani de incercari la telefon. si va spun ca am fost destul de insistent.",1
2915,Calitate / pret ok,"sunt o alegere buna pentru muzica / conversatie in gama ""buget de stundent"". raportul calitate/pret foarte bun.",5
13486,Nu recomand,"am facut proba la un mall. imi arata ca este localizat in zona mall dar nu locatia aproximativa. luand in considerare ca este o zona aglomerata si foarte mare, este clar ca mi-am pierdut copilul definitiv. si adaug faptul ca ma scotea in afara mall iar copilul era in mall.",1
3318,Excelent,boxa mica cu sunet puternic... un fel de david si goliat ( doi in unu ). suna foarte bine la dimensiunile ei. o boxa ultraportabila.,5
6829,Recomand,excelenta,5
4206,Merita,pro:   - mufa usb care nu se misca daca o bagi in laptop/incarcator  -pretul   contra:  -nimic  rezumat:  cel mai bun cablu mfi sub 20 de lei,5
10546,Foarte slab,nu se aseaza pe telefon! bani aruncati degeaba! nu recomand!,1
5173,Recomand,f multumita de produs!,5
30,Un produs excelent!!!!!,da - da- da merita toti banii,5
357,Excelent,"excelenta la toate capitolele, mica si puternica.  se conecteaza foarte repede atat cu telefonul cat si cu laptopul, se aude super bine (testata in casa cat si afara).  ca si handsfree este ok (de la cca 50 cm m-am auzit foarte bine).  o surpriza excelenta, deci: ''jbl is the best''.",5
12799,Mmmu prea,o casca se desconecta permanent asa ca le-am inapoiat... voi alege altceva.,2
7368,Excelent,"sunt excelente. mi-am cumparat 2 de proba, iar acum am in plan sa mai achizitionez cateva",5
10854,Nu recomand,"castilenu se aud prost. dar nu se compara cu cele originale care costa cam 120-130 de lei. cele originale au un bass foarte bun izoleaza foarte bine si multe alte calitati. acestea sunt ca cele de 10 lei din gara care rezista doar ceva mai mult. eu le-am luat pe acestea pentru ca eram nelamurit care sunt cele originale, fiind 3 casti identice la diferite preturi (20, 60, 120lei) am zis sa le i-au pe cele de 60 de lei care nu sunt nici prea ieftine nici prea scumpe. dar nu spunea niciunde care sunt castile originale. nu le recomand la pretul asta puteam sa i-au ceva mai bun.",1
13284,Nu recomand,"nu recomand, se deconecteaza foarte des de la aplicatie, de o saptamana de cind l-am cumparat deja nu mai functioneaza, deci nu este bun",1
5035,Excelent,"e foarte bun, merita banii!",5
8770,Acum mi-as alege altceva,"initial am fost incantata, mai ales de culoare (verde-bleu). cum intre timp mi s-a stricat aparatul foto, am inceput sa folosesc camera video a tabletei, destul de rar totusi. partea nasola este ca, husa fiind universala, camera este astupata, asa ca de fiecare data trebuia sa scot din cleme tableta, ca sa pot face poze. dupa putin timp, una din clemele de prindere s-a rupt.... husa este destul de grea si mare.",2
3713,Afacere buna.,produs bun. afacere buna. am un huawei p10 si pot sa-mi incarca telefonul si sa fac transfer de date cu acest cablu. recomand!,5
4998,Recomand,"bateria incarca chiar ok, de vreo 3 ori un p10 lite. nu am incercat sa incarc 2 telefoane o data dar cu unul singur se comporta excelent.",5
4207,Best buy,"o tableta minunata, la pretul asta e best buy.",5
1944,Excelent,"a fost wow. se aude super tare, chiar nu ma asteptam. pretul este acceptabil. microfonul functioneaza impecabil. sunt foarte multumit de ea. recomand.",5
11720,Nu se merita sa fie achizitionat,"nu inregistreaza corect activitatea fizica daca iti misti doar mana pe langa corp fara a realiza pasi se inregistreaza ca si activitate, de asemenea daca mergi cu masina inregistreaza alti zeci de pasi in functie de distanta realizata.  nu recomand acest produs:(",1
8306,"Sunet obositor, nu recomand","sunetele inalte exceleaza, ceea ce este obositor si extrem de deranjant. chiar insuportabil asi putea spune.  basul lipseste cu desavarsire.    parca imi chitzaie in urechi doi soareci.  nu recomand.",2
14005,Nu recomand,"culoarea produsului cumparat nu corespunde cu cea pe care am primit-o. si ca sa o schimb, nefiind gresala mea, tot pe banii mei trebuie sa o schimb. nu stiu ce ar trebui facut dar va cam faceti de ras. mi-ati lasat un gust amar. o sa va pierdeti clientii.",1
4458,Rezonabil,conform asteptarilor,4
14315,Dezamagitor,nu se ridica la nivelul asteptarilor mele. trimis fara carte tehnica. raport calitate pret foarte slaba. bateria nu se incarca intr-o ora si autonomia este de 1 zi. nu recomand,2
225,Excelent,acest smartwatch este foarte bun. aveam nevoie de ajutor si am apasat e sos,5
3526,Foarte multumit,"este un produs care imi satisface nevoile legate de fitness, dar si un gadget perfect care ma anunta de fiecare data cand primesc notificari pe telefon. il recomand! si pretul este ok",5
1609,Recomand,"le am de aproape 2 saptamani si pot sa spun ca deja nu mai suport sa folosesc alt tip de casti.     plusuri:    - autonomie excelenta. 3-4 ore de ascultat continuu. singura data cand mi s-au descarcat a fost cand am vorbit aproape 4 ore la telefon cu cineva.   - se conecteaza instant la telefonul sau deviceul cu care le-ai facut pairing in bluetooth dupa ce le scoti din cutie  - se potrivesc perfect in ureche. le folosesc la sala, la alergat, cand merg cu bicicleta, curse lungi, nu cad din ureche, nu se misca.   - sunetul e foarte bun, nu se compara cu alte casti earbuds pe care le-am avut.    minusuri:   - cateodata casca stanga se deconecteaza pentru 1-2 secunde daca te deplasezi prea mult fata de telefon. nu ma deranjeaza asa tare, nu se intampla des.",5
3515,Excelent,e ok!,5
10296,Kingston Micro-SDHC 16GB + Adaptor review,dupa un restart in v1 viper a murit complet!  nu recomand!  contra:: viteza neasteptat de mica. up. sub 3 mb/s.,1
11791,Foarte slab,"cel mai prost card de pe piata, se tot bloca telefonul din cand in cand, am fost cu el in service si nu ii gaseau niciun defect. am scos cardul, totul merge perfect de o saptamana.",1
9879,Simona,neplacuta. a functionat 15 minute dupa care nu s-a mai deschis si nu se incarca. nu recomand.,1
2184,Excelent,"foarte bun si functional, in sensul ca nu mai trebuie sa tot bag incarcatorul in mufa usb-c a telefonului, si in timp sa se strice mufa, asa asez telefonul in dispozitiv si in aprox. 80 min este incarcat de la 0. recomand cu toata increderea.",5
9970,NU MERITĂ!!!!,"am urmat toti pasii recomandati de catre vanzator si chiar arata bine dupa aplicare daca adezivul si-ar fi facut treaba si ar fi fixat sticla de protectie si nu iar fi permis sa se miste si dupa doua zile, dupa care sa dezlipit complet. nu cumparati! bani aruncati...",1
4642,Boxa GO 2 isi merita bani pentru claritatea si bass-ul pe care le ofera. Se aude foarte clar si in acelasi timp tare. Bateria din cate am testat tine mai bine de 5 ore.,sunet impecabil si zgomotos,5
73,Recomand,"finisaje de calitate, magnetul tine foarte bine si telefonul si gps-ul. am avut ceva probleme pana i-am gasit locul pe bordul masinii dar altfel... toate bune. nu se compara cu cel cu ventuza dinainte.",5
2793,Foarte bun,"foarte bun, prindere buna, detasare simpla si eficienta a telefonului cu apasarea butonului de pe spate",5
7157,JBL power,"o boxa care la pretul acesta e cam best-buy.   bateria: o folosesc de 3-4 ore la volum peste 60% si inca nu mi-a palpait ledul rosu. (am pus-o la incarcat vreo 45 de minute ieri, caci atunci am luat-o)   sunet: jbl by harman. am spus tot cu asta. mai ales ca folosesc equaliser la telefon (samsung s8) pentru bass, sunetul este foarte placut si tare pentru 3.1w.  rezistenta la apa:inca nu m-am ivit de un accident xd. capacelul care ascunde porturile e foarte gros si eu zic ca rezista la o cadere in piscina.  am folosit boxa si cu cablu aux la pc si se aude foarte bine asemenea.     ce mi-ar fi placut: sa aibe si suport stereo. (ma gandeam sa mai cumpar inca una,imi place ca o pot pune in buzunar, fata de modelele mai mari de la jbl:) )",5
4772,Recomand,"la pretul de 89ron, fara taxa de transport ptr ca l-am ridicat personal de la posta(punct de livrare emag), este ok.",5
11936,Nemultumit,o am de o luna. o luna in care am folosit o de 5-6 ori.. se tot stinge.. apas pe buton. porneste sta asa 10 secunde.. se opreste cu telefonul cuplat la ea.. daca apas porneste din nou.. arata ca se incarca si dupa iar se opreste am dat 317 lei pe ea.. nu merita... are un material de calitate slaba..(plastic).,1
14856,Slab,"cand primesc sms pe telefon bratara incepe sa vibreze si se reseteaza si ora si data, bateria tine cam o saptamana, am alergat si de la transpiratie s-a aburit ecranul pe dinauntru si asa a ramas, nu ma notifica pentru mail, facebook. per total dezamagitor.",2
5353,Recomand,"il avem deja de 2 luni, fara probleme, totul functioneaza bine.",5
1646,Perfect,"merge foarte bine, e usor de folosit, arata impecabil. singurul aspect negativ e bateria, care nu tine mai mult de 1,5 zile",5
1485,Card,"card +adaptor  pro:: lam luat pentru telefonul meu xperia x10i merge de minune, nam nici un repros, are viteze mari de scriere vine si cu un adaptor pentru card, cei de la emag au uitat sa specifice",5
9574,Jabra style black,am rana dupa ureche.... imi pare rau ca am cumparat aceasta casca bluetooth..... e insuportabil plasticul ala dupa ureche,1
9529,Nu recomand,"foarte proasta, dimensiuni reduse in lungime si latime, nu acopera in totalitate. din pacate am rupt cutia si nu am putut returna produsul.",1
14022,Nemultumit,"dupa ce am primit castile, am deschis cutia si am scos prima casca, iar la a doua sa desprins parte de jos prin care se incarca si acum nu o mi pot incarca.",1
7139,Foarte multumit,"se aud bine, compatibil cu samsung note 2 si 3.",5
8099,Dezastru,se aude ca un tweeter de 5w... adica oribil. singura utilitate care o pot gasi la chinezaria asta este pe post de portavoce. orice boxa portabila de (gen jbl charge) 350lei se aude net superior.,1
9843,Nu recomand,din 2 ceasuri comandate 1 functioneaza bine. cel de-al 2 probleme cu tachsreen dai sa faci poza revine la ecranul principal,1
2267,Recomand,pret calitate. ok. este ok pt 100lei.,5
9270,Foarte slab,"niste mizerii, iti cad din ureche",1
9987,Nu recomand,se comporta la fel ca cel original ce functioneaza de 2 ani. nu recomand. banii dati degeaba!!!!,1
13367,Foarte slab,"m-am lamurit singura, nu functioneaza in toate retelele din romania!!! doar orange, vodafone si mai apare cosmote dar nu cred ca mai exista reteaua..... ceasul nu functioneaza decat ca si telefon, pt aplicatii, poze sau altceva trebuie un card de memorie! iar gps nu exista decat daca tii bluetooth pornit si nu te departezi mai mult de 2 metri de telefon, ca altfel pierde conexiunea!",1
531,Foarte multumit,"il am de ceva timp si sincer nu ii pot gasi un defect.. poate ca nu este mare, greu si urat:)) in rest isi face treaba cu brio si este rezistent (avand cateva accidente la activ)",5
10350,Nerecomandat,"mai mult de 15 lei nu face. mic, nu se potriveste la orice masina la gura de ventilatie. personal l-am trimis inapoi si am luat unul clasic cu ventuza mult mai bun",1
7018,Foarte multumit,imi place. am facut o alegere buna.,5
4,Foarte multumit,foarte ok suportul. sta bine fixat de bordul masinii. raport calitate pret bun.,5
1778,Foarte multumit,cel mai profund bass - nota 10,5
329,Foarte multumit,"eu il am de cand era o gramada de bani, sunt super multumit de el... singurul minus e bratara care s. a crapat... aveti idee de unde iau si eu alta?",5
1575,Excelent,foarte bun. ma uimit calitatea materialelor din care e facut. un plastic finisat de foarte buna calitate. functioneaza excelent,5
